,year,province,immigrant_status,labour_force_character,gender,age_group,metrics,total
103209,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,77.0
103210,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,403.0
103211,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,54.0
103217,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,43.0
103218,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,318.0
103219,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,18.0
103221,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,37.0
103222,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,277.0
103223,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,13.0
103229,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,39.0
103230,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,299.0
103231,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,15.0
103233,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,33.0
103234,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,246.0
103235,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,11.0
103241,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,22.0
103242,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,279.0
103243,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,13.0
103245,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,16.0
103246,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,193.0
103247,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,10.0
103253,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,17.0
103254,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,21.0
103255,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,2.0
103257,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,17.0
103258,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,52.0
103259,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,
103265,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,4.0
103266,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,19.0
103267,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,3.0
103269,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,4.0
103270,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,32.0
103271,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,2.0
103277,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,33.0
103278,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,43.0
103279,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,25.0
103281,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,40.0
103282,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,126.0
103283,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,41.0
103925,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,77.0
103926,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,359.0
103927,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,41.0
103929,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,73.0
103930,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,402.0
103931,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,53.0
103937,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,42.0
103938,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,320.0
103939,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,17.0
103941,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,35.0
103942,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,276.0
103943,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,13.0
103949,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,37.0
103950,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,301.0
103951,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,15.0
103953,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,31.0
103954,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,247.0
103955,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,11.0
103961,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,20.0
103962,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,278.0
103963,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,13.0
103965,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,15.0
103966,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,194.0
103967,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,9.0
103973,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,18.0
103974,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,24.0
103975,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
103977,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,16.0
103978,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,53.0
103979,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
103985,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,5.0
103986,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,19.0
103987,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,3.0
103989,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,4.0
103990,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,29.0
103991,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,
103997,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,36.0
103998,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,39.0
103999,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,24.0
104001,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,38.0
104002,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,126.0
104003,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,40.0
104645,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,76.0
104646,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,363.0
104647,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,39.0
104649,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,69.0
104650,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,397.0
104651,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,50.0
104657,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,41.0
104658,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,326.0
104659,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,16.0
104661,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,34.0
104662,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,271.0
104663,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,12.0
104669,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,35.0
104670,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,306.0
104671,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,14.0
104673,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,30.0
104674,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,245.0
104675,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,11.0
104681,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,18.0
104682,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,280.0
104683,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,13.0
104685,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,14.0
104686,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,193.0
104687,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,9.0
104693,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,16.0
104694,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,26.0
104695,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
104697,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,16.0
104698,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,52.0
104699,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
104705,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,7.0
104706,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,19.0
104707,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
104709,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,4.0
104710,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,26.0
104711,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,
104717,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,35.0
104718,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,37.0
104719,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,23.0
104721,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,35.0
104722,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,126.0
104723,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,38.0
105365,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,75.0
105366,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,363.0
105367,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,39.0
105369,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,68.0
105370,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,385.0
105371,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,49.0
105377,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,41.0
105378,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,328.0
105379,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,16.0
105381,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,35.0
105382,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,258.0
105383,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,11.0
105389,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,35.0
105390,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,309.0
105391,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,14.0
105393,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,30.0
105394,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,234.0
105395,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,11.0
105401,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,21.0
105402,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,284.0
105403,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,13.0
105405,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,13.0
105406,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,186.0
105407,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,8.0
105413,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,14.0
105414,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,25.0
105415,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
105417,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,17.0
105418,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,48.0
105419,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
105425,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,6.0
105426,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,19.0
105427,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
105429,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,5.0
105430,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,24.0
105431,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,
105437,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,34.0
105438,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,35.0
105439,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,23.0
105441,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,33.0
105442,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,127.0
105443,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,37.0
106085,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,77.0
106086,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,366.0
106087,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,39.0
106089,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,70.0
106090,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,382.0
106091,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,47.0
106097,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,46.0
106098,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,332.0
106099,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,15.0
106101,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,36.0
106102,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,256.0
106103,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,12.0
106109,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,38.0
106110,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,312.0
106111,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,13.0
106113,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,29.0
106114,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,228.0
106115,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,10.0
106121,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,26.0
106122,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,287.0
106123,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,12.0
106125,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,13.0
106126,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,185.0
106127,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,8.0
106133,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,12.0
106134,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,25.0
106135,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
106137,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,16.0
106138,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,43.0
106139,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
106145,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,7.0
106146,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,20.0
106147,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
106149,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,6.0
106150,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,28.0
106151,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,
106157,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,32.0
106158,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,34.0
106159,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,24.0
106161,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,34.0
106162,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,126.0
106163,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,35.0
106805,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,81.0
106806,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,370.0
106807,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,39.0
106809,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,75.0
106810,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,380.0
106811,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,46.0
106817,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,49.0
106818,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,338.0
106819,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,16.0
106821,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,40.0
106822,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,254.0
106823,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,11.0
